geoid,loc_postalcode
8115,71083
8115,71272
8115,71065
8115,71126
8115,71159
8115,71155
8115,71144
8115,71067
8115,71287
8115,71106
8115,75392
8115,71263
8115,71063
8115,71032
8115,71120
8115,71154
8115,71277
8115,71134
8115,71157
8115,71149
15083,39326
15083,39393
15083,39171
15083,39398
15083,39345
15083,39343
15083,39167
15083,39356
15083,39359
15083,39179
15083,39646
15083,39387
15083,39365
15083,39164
8235,76332
8235,75323
8235,75378
8235,75397
8235,75387
8235,72202
8235,75399
8235,75382
8235,72226
8235,72218
8235,75339
8235,72213
8235,72224
8235,72229
8235,75337
8235,75391
8235,75395
8235,75394
8235,75385
8235,75389
8235,72227
8235,75335
8235,72221
8235,75328
9372,93488
9372,93455
9372,93476
9372,93466
9372,93426
9372,93199
9372,93189
9372,93485
9372,93473
9372,93464
9372,93194
9372,93185
9372,93468
9372,93462
9372,93192
9372,93444
9372,93499
9372,93494
9372,93482
9372,93437
9372,92444
9372,93477
9372,93458
9372,93486
9372,93167
9372,93413
9372,93453
9372,93191
9372,93495
9372,93483
9372,93489
9372,93497
9372,93492
9372,93474
9372,93479
9372,93491
9372,93480
9372,93470
14511,9130
14511,9114
14511,9028
14511,9227
14511,9131
14511,9127
14511,9030
14511,9111
14511,9123
14511,9125
14511,9117
14511,9228
14511,9116
14511,9119
14511,9112
14511,9224
14511,9126
14511,9120
14511,9128
14511,9122
14511,9247
3453,49685
3453,49688
3453,49692
3453,26219
3453,26683
3453,49696
3453,49661
3453,49632
3453,49681
3453,26169
3453,49699
3453,26676
5558,48653
5558,59387
5558,48329
5558,59394
5558,48727
5558,48249
5558,48301
5558,59348
5558,59399
5558,48720
6411,64297
6411,64293
6411,64291
6411,64289
6411,64295
6411,64287
6411,64285
6432,64823
6432,64397
6432,64839
6432,64354
6432,64342
6432,64409
6432,64367
6432,64853
6432,64846
6432,64347
6432,64850
6432,64665
6432,64405
6432,64390
6432,64859
6432,64319
6432,64832
6432,64331
6432,64401
6432,64380
6432,64372
6432,64404
3401,27753
3401,27751
3401,27755
15001,6847
15001,6846
15001,6844
15001,6861
15001,6842
9279,94419
9279,94437
9279,84160
9279,84152
9279,84180
9279,94428
9279,84183
9279,84177
9279,84164
9279,84130
9279,94405
9279,94522
9279,94431
9279,94436
7333,67817
7333,67294
7333,67681
7333,67727
7333,67822
7333,67816
7333,67814
7333,67813
7333,67728
7333,67307
7333,67295
7333,67724
7333,67823
7333,67722
7333,67304
7333,67729
7333,67808
7333,67821
7333,67305
7333,67297
7333,67819
7333,67806
7333,67811
7333,67725
7333,67292
5913,44329
5913,44137
5913,44149
5913,44357
5913,44265
5913,44135
5913,44388
5913,44141
5913,44145
5913,44309
5913,44147
5913,44267
5913,44229
5913,44269
5913,44319
5913,44339
5913,44225
5913,44287
5913,44328
5913,44289
5913,44139
5913,44359
5913,44227
5913,44263
5913,44143
5913,44379
5112,47138
5112,47137
5112,47057
5112,47226
5112,47199
5112,47179
5112,47279
5112,47055
5112,47167
5112,47178
5112,47166
5112,47058
5112,47259
5112,47228
5112,47249
5112,47139
5112,47059
5112,47119
5112,47053
5112,47269
5112,47169
5112,47051
5112,47239
5112,47229
5358,52457
5358,52349
5358,52355
5358,52379
5358,52428
5358,52382
5358,52441
5358,52445
5358,52388
5358,52393
5358,52399
5358,52396
5358,52351
5358,52391
5358,52385
5358,52459
5358,52353
5111,40219
5111,40211
5111,40545
5111,40629
5111,40212
5111,40239
5111,40489
5111,40627
5111,40591
5111,40589
5111,40223
5111,40474
5111,40468
5111,40227
5111,40595
5111,40597
5111,40217
5111,40470
5111,40215
5111,40233
5111,40472
5111,40477
5111,40231
5111,40210
5111,40225
5111,40235
5111,40599
5111,40229
5111,40476
