country_code,statisticalAreaCode,statisticalArea,year,population
DEU,DE22,"Niederbayern, Regierungsbezirk",1960,962.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1960,890.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1960,1.087
DEU,DE25,"Mittelfranken, Regierungsbezirk",1960,1.374
DEU,DE26,"Unterfranken, Regierungsbezirk",1960,1.09
DEU,DE27,"Schwaben, Regierungsbezirk",1960,1.358
DEU,DE30,Berlin,1960,3.269
DEU,DE40,Brandenburg,1960,2.655
DEU,DE50,Bremen,1960,706.0
DEU,DE60,Hamburg,1960,1.832
DEU,DE71+DE72,Darmstadt and Giessen,1960,3.558
DEU,DE73,"Kassel, Regierungsbezirk",1960,1.256
DEU,DE80,Mecklenburg-Vorpommern,1960,2.107
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1960,3.253
DEU,DE93,Statistische Region Lüneburg,1960,1.534
DEU,DE94,Statistische Region Weser-Ems,1960,1.854
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1960,5.376
DEU,DEA2,"Köln, Regierungsbezirk",1960,3.063
DEU,DEA3,"Münster, Regierungsbezirk",1960,2.259
DEU,DEA4,"Detmold, Regierungsbezirk",1960,1.606
DEU,DEA5,"Arnsberg, Regierungsbezirk",1960,3.598
DEU,DEB1,Statistische Region Koblenz,1960,1.268
DEU,DEB2,Statistische Region Trier,1960,459.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1960,1.69
DEU,DEC0,Saarland,1960,1.073
DEU,DED2,"Dresden, NUTS 2-Region",1960,1.885
DEU,DED4,"Chemnitz, NUTS 2-Region",1960,2.112
DEU,DED5,"Leipzig, NUTS 2-Region",1960,1.519
DEU,DEE0,Sachsen-Anhalt,1960,3.347
DEU,DEF0,Schleswig-Holstein,1960,2.317
DEU,DEG0,Thüringen,1960,2.52
GBR,UKI,London Counties,1960,7.171
GBR,UKH+UKJ,Rest of SouthEast,1960,10.274
GBR,UKK,SouthWest,1960,3.484
GBR,UKG,West Midlands,1960,4.723
GBR,UKF,East  Midlands,1960,3.403
GBR,UKC+UKD,North,1960,9.727
GBR,UKE,Yorks  & Humberside,1960,4.438
GBR,UKL,Wales,1960,2.639
GBR,UKM,Scotland,1960,5.171
GBR,UKN,Northern Ireland,1960,1.42
FRA,FR10,Île de France,1970,9.879
FRA,FR21,Champagne-Ardenne,1970,1.337
FRA,FR22,Picardie,1970,1.679
FRA,FR23,Haute-Normandie,1970,1.5959999999999999
FRA,FR24,Centre,1970,2.153
FRA,FR25,Basse-Normandie,1970,1.306
FRA,FR26,Bourgogne,1970,1.571
FRA,FR30,Nord - Pas-de-Calais,1970,3.9139999999999997
FRA,FR41,Lorraine,1970,2.331
FRA,FR42,Alsace,1970,1.517
FRA,FR43,Franche-Comté,1970,1.06
FRA,FR51,Pays de la Loire,1970,2.767
FRA,FR52,Bretagne,1970,2.595
FRA,FR53,Poitou-Charentes,1970,1.528
FRA,FR61,Aquitaine,1970,2.55
FRA,FR62,Midi-Pyrénées,1970,2.2680000000000002
FRA,FR63,Limousin,1970,739.0
FRA,FR71,Rhône-Alpes,1970,4.781000000000001
FRA,FR72,Auvergne,1970,1.33
FRA,FR81,Languedoc-Roussillon,1970,1.7890000000000001
FRA,FR82,Provence-Alpes-Côte d'Azur,1970,3.676
FRA,FR83,Corse,1970,226.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1970,3.4960000000000004
DEU,DE12,"Karlsruhe, Regierungsbezirk",1970,1.91
DEU,DE13,"Freiburg, Regierungsbezirk",1970,1.868
DEU,DE14,"Tübingen, Regierungsbezirk",1970,1.6219999999999999
DEU,DE21,"Oberbayern, Regierungsbezirk",1970,3.242
DEU,DE22,"Niederbayern, Regierungsbezirk",1970,1.012
DEU,DE23,"Oberpfalz, Regierungsbezirk",1970,956.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1970,1.1159999999999999
DEU,DE25,"Mittelfranken, Regierungsbezirk",1970,1.485
DEU,DE26,"Unterfranken, Regierungsbezirk",1970,1.181
DEU,DE27,"Schwaben, Regierungsbezirk",1970,1.4869999999999999
DEU,DE30,Berlin,1970,3.208
DEU,DE40,Brandenburg,1970,2.66
DEU,DE50,Bremen,1970,723.0
DEU,DE60,Hamburg,1970,1.794
DEU,DE71+DE72,Darmstadt and Giessen,1970,4.033
DEU,DE73,"Kassel, Regierungsbezirk",1970,1.349
DEU,DE80,Mecklenburg-Vorpommern,1970,2.095
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1970,3.363
DEU,DE93,Statistische Region Lüneburg,1970,1.6909999999999998
DEU,DE94,Statistische Region Weser-Ems,1970,2.029
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1970,5.626
DEU,DEA2,"Köln, Regierungsbezirk",1970,3.429
DEU,DEA3,"Münster, Regierungsbezirk",1970,2.4019999999999997
DEU,DEA4,"Detmold, Regierungsbezirk",1970,1.7369999999999999
DEU,DEA5,"Arnsberg, Regierungsbezirk",1970,3.721
DEU,DEB1,Statistische Region Koblenz,1970,1.354
DEU,DEB2,Statistische Region Trier,1970,482.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1970,1.8090000000000002
DEU,DEC0,Saarland,1970,1.12
