country_code,statisticalAreaCode,statisticalArea,year,gdp
DEU,DE13,"Freiburg, Regierungsbezirk",1950,5930.0
DEU,DE14,"Tübingen, Regierungsbezirk",1950,5101.0
DEU,DE21,"Oberbayern, Regierungsbezirk",1950,10681.0
DEU,DE22,"Niederbayern, Regierungsbezirk",1950,3944.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1950,3421.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1950,5067.0
DEU,DE25,"Mittelfranken, Regierungsbezirk",1950,5563.0
DEU,DE26,"Unterfranken, Regierungsbezirk",1950,4194.0
DEU,DE27,"Schwaben, Regierungsbezirk",1950,5538.0
DEU,DE30,Berlin,1950,13103.0
DEU,DE40,Brandenburg,1950,8772.0
DEU,DE50,Bremen,1950,2553.0
DEU,DE60,Hamburg,1950,8405.0
DEU,DE71+DE72,Darmstadt and Giessen,1950,14917.0
DEU,DE73,"Kassel, Regierungsbezirk",1950,3810.0
DEU,DE80,Mecklenburg-Vorpommern,1950,7843.0
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1950,12758.0
DEU,DE93,Statistische Region Lüneburg,1950,5852.0
DEU,DE94,Statistische Region Weser-Ems,1950,6814.0
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1950,20618.0
DEU,DEA2,"Köln, Regierungsbezirk",1950,11126.0
DEU,DEA3,"Münster, Regierungsbezirk",1950,8460.0
DEU,DEA4,"Detmold, Regierungsbezirk",1950,7083.0
DEU,DEA5,"Arnsberg, Regierungsbezirk",1950,13442.0
DEU,DEB1,Statistische Region Koblenz,1950,4714.0
DEU,DEB2,Statistische Region Trier,1950,1689.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1950,6193.0
DEU,DEC0,Saarland,1950,3503.0
DEU,DED2,"Dresden, NUTS 2-Region",1950,5870.0
DEU,DED4,"Chemnitz, NUTS 2-Region",1950,7573.0
DEU,DED5,"Leipzig, NUTS 2-Region",1950,4677.0
DEU,DEE0,Sachsen-Anhalt,1950,10734.0
DEU,DEF0,Schleswig-Holstein,1950,8752.0
DEU,DEG0,Thüringen,1950,8756.0
GBR,UKI,London Counties,1950,69829.0
GBR,UKH+UKJ,Rest of SouthEast,1950,54495.0
GBR,UKK,SouthWest,1950,20646.0
GBR,UKG,West Midlands,1950,32094.0
GBR,UKF,East  Midlands,1950,21374.0
GBR,UKC+UKD,North,1950,65707.0
GBR,UKE,Yorks  & Humberside,1950,29591.0
GBR,UKL,Wales,1950,15394.0
GBR,UKM,Scotland,1950,31756.0
GBR,UKN,Northern Ireland,1950,6964.0
FRA,FR10,Île de France,1960,100635.0
FRA,FR21,Champagne-Ardenne,1960,8085.0
FRA,FR22,Picardie,1960,9823.0
FRA,FR23,Haute-Normandie,1960,9712.0
FRA,FR24,Centre,1960,11456.0
FRA,FR25,Basse-Normandie,1960,7802.0
FRA,FR26,Bourgogne,1960,10589.0
FRA,FR30,Nord - Pas-de-Calais,1960,23889.0
FRA,FR41,Lorraine,1960,15608.0
FRA,FR42,Alsace,1960,9216.0
FRA,FR43,Franche-Comté,1960,6807.0
FRA,FR51,Pays de la Loire,1960,14399.0
FRA,FR52,Bretagne,1960,12306.0
FRA,FR53,Poitou-Charentes,1960,5894.0
FRA,FR61,Aquitaine,1960,14302.0
FRA,FR62,Midi-Pyrénées,1960,12104.0
FRA,FR63,Limousin,1960,4091.0
FRA,FR71,Rhône-Alpes,1960,32597.0
