country_code,country,source1,source2,year,exports
AUH,Austria-Hungary,1.0,1.0,1925,
AUH,Austria-Hungary,1.0,1.0,1926,
AUH,Austria-Hungary,1.0,1.0,1927,
AUH,Austria-Hungary,1.0,1.0,1928,
AUH,Austria-Hungary,1.0,1.0,1929,
AUH,Austria-Hungary,1.0,1.0,1930,
AUH,Austria-Hungary,1.0,1.0,1931,
AUH,Austria-Hungary,1.0,1.0,1932,
AUH,Austria-Hungary,1.0,1.0,1933,
AUH,Austria-Hungary,1.0,1.0,1934,
AUH,Austria-Hungary,1.0,1.0,1935,
AUH,Austria-Hungary,1.0,1.0,1936,
AUH,Austria-Hungary,1.0,1.0,1937,
AUH,Austria-Hungary,1.0,1.0,1938,
AUH,Austria-Hungary,1.0,1.0,1939,
AUH,Austria-Hungary,1.0,1.0,1940,
AUH,Austria-Hungary,1.0,1.0,1941,
AUH,Austria-Hungary,1.0,1.0,1942,
AUH,Austria-Hungary,1.0,1.0,1943,
AUH,Austria-Hungary,1.0,1.0,1944,
AUH,Austria-Hungary,1.0,1.0,1945,
AUH,Austria-Hungary,1.0,1.0,1946,
AUH,Austria-Hungary,1.0,1.0,1947,
AUH,Austria-Hungary,1.0,1.0,1948,
AUH,Austria-Hungary,1.0,1.0,1949,
AUH,Austria-Hungary,1.0,1.0,1950,
AUH,Austria-Hungary,1.0,1.0,1951,
AUH,Austria-Hungary,1.0,1.0,1952,
AUH,Austria-Hungary,1.0,1.0,1953,
AUH,Austria-Hungary,1.0,1.0,1954,
AUH,Austria-Hungary,1.0,1.0,1955,
AUH,Austria-Hungary,1.0,1.0,1956,
AUH,Austria-Hungary,1.0,1.0,1957,
AUH,Austria-Hungary,1.0,1.0,1958,
AUH,Austria-Hungary,1.0,1.0,1959,
AUH,Austria-Hungary,1.0,1.0,1960,
AUH,Austria-Hungary,1.0,1.0,1961,
AUH,Austria-Hungary,1.0,1.0,1962,
AUH,Austria-Hungary,1.0,1.0,1963,
AUH,Austria-Hungary,1.0,1.0,1964,
AUH,Austria-Hungary,1.0,1.0,1965,
AUH,Austria-Hungary,1.0,1.0,1966,
AUH,Austria-Hungary,1.0,1.0,1967,
AUH,Austria-Hungary,1.0,1.0,1968,
AUH,Austria-Hungary,1.0,1.0,1969,
AUH,Austria-Hungary,1.0,1.0,1970,
AUH,Austria-Hungary,1.0,1.0,1971,
AUH,Austria-Hungary,1.0,1.0,1972,
AUH,Austria-Hungary,1.0,1.0,1973,
AUH,Austria-Hungary,1.0,1.0,1974,
AUH,Austria-Hungary,1.0,1.0,1975,
AUH,Austria-Hungary,1.0,1.0,1976,
AUH,Austria-Hungary,1.0,1.0,1977,
AUH,Austria-Hungary,1.0,1.0,1978,
AUH,Austria-Hungary,1.0,1.0,1979,
AUH,Austria-Hungary,1.0,1.0,1980,
AUH,Austria-Hungary,1.0,1.0,1981,
AUH,Austria-Hungary,1.0,1.0,1982,
AUH,Austria-Hungary,1.0,1.0,1983,
AUH,Austria-Hungary,1.0,1.0,1984,
AUH,Austria-Hungary,1.0,1.0,1985,
AUH,Austria-Hungary,1.0,1.0,1986,
AUH,Austria-Hungary,1.0,1.0,1987,
AUH,Austria-Hungary,1.0,1.0,1988,
AUH,Austria-Hungary,1.0,1.0,1989,
AUH,Austria-Hungary,1.0,1.0,1990,
AUH,Austria-Hungary,1.0,1.0,1991,
AUH,Austria-Hungary,1.0,1.0,1992,
AUH,Austria-Hungary,1.0,1.0,1993,
AUH,Austria-Hungary,1.0,1.0,1994,
AUH,Austria-Hungary,1.0,1.0,1995,
AUH,Austria-Hungary,1.0,1.0,1996,
AUH,Austria-Hungary,1.0,1.0,1997,
AUH,Austria-Hungary,1.0,1.0,1998,
AUH,Austria-Hungary,1.0,1.0,1999,
AUH,Austria-Hungary,1.0,1.0,2000,
AUH,Austria-Hungary,1.0,1.0,2001,
AUH,Austria-Hungary,1.0,1.0,2002,
AUH,Austria-Hungary,1.0,1.0,2003,
AUH,Austria-Hungary,1.0,1.0,2004,
AUH,Austria-Hungary,1.0,1.0,2005,
AUH,Austria-Hungary,1.0,1.0,2006,
AUH,Austria-Hungary,1.0,1.0,2007,
AUH,Austria-Hungary,1.0,1.0,2008,
AUH,Austria-Hungary,1.0,1.0,2009,
AUH,Austria-Hungary,1.0,1.0,2010,
AUH,Austria-Hungary,1.0,1.0,2011,
AUH,Austria-Hungary,1.0,1.0,2012,
AUH,Austria-Hungary,1.0,1.0,2013,
AUH,Austria-Hungary,1.0,1.0,2014,
AUL,Australia,1.0,1.0,1870,
AUL,Australia,1.0,1.0,1871,
AUL,Australia,1.0,1.0,1872,
AUL,Australia,1.0,1.0,1873,
AUL,Australia,1.0,1.0,1874,
AUL,Australia,1.0,1.0,1875,
AUL,Australia,1.0,1.0,1876,
AUL,Australia,1.0,1.0,1877,
AUL,Australia,1.0,1.0,1878,
AUL,Australia,1.0,1.0,1879,
AUL,Australia,1.0,1.0,1880,
AUL,Australia,1.0,1.0,1881,
AUL,Australia,1.0,1.0,1882,
AUL,Australia,1.0,1.0,1883,
AUL,Australia,1.0,1.0,1884,
AUL,Australia,1.0,1.0,1885,
AUL,Australia,1.0,1.0,1886,
AUL,Australia,1.0,1.0,1887,
AUL,Australia,1.0,1.0,1888,
AUL,Australia,1.0,1.0,1889,
AUL,Australia,1.0,1.0,1890,
AUL,Australia,1.0,1.0,1891,
AUL,Australia,1.0,1.0,1892,
AUL,Australia,1.0,1.0,1893,
AUL,Australia,1.0,1.0,1894,
AUL,Australia,1.0,1.0,1895,
AUL,Australia,1.0,1.0,1896,
AUL,Australia,1.0,1.0,1897,
AUL,Australia,1.0,1.0,1898,
AUL,Australia,1.0,1.0,1899,
AUL,Australia,1.0,1.0,1900,
AUL,Australia,1.0,1.0,1901,
AUL,Australia,1.0,1.0,1902,
AUL,Australia,1.0,1.0,1903,
AUL,Australia,1.0,1.0,1904,
AUL,Australia,1.0,1.0,1905,
AUL,Australia,1.0,1.0,1906,
AUL,Australia,1.0,1.0,1907,
AUL,Australia,1.0,1.0,1908,
AUL,Australia,1.0,1.0,1909,
