country_code,statisticalAreaCode,statisticalArea,year,share_industry
FRA,FR24,Centre,1938,0.269
FRA,FR25,Basse-Normandie,1938,0.255
FRA,FR26,Bourgogne,1938,0.3
FRA,FR30,Nord - Pas-de-Calais,1938,0.576
FRA,FR41,Lorraine,1938,0.499
FRA,FR42,Alsace,1938,0.452
FRA,FR43,Franche-Comté,1938,0.393
FRA,FR51,Pays de la Loire,1938,0.276
FRA,FR52,Bretagne,1938,0.215
FRA,FR53,Poitou-Charentes,1938,0.256
FRA,FR61,Aquitaine,1938,0.265
FRA,FR62,Midi-Pyrénées,1938,0.282
FRA,FR63,Limousin,1938,0.256
FRA,FR71,Rhône-Alpes,1938,0.44
FRA,FR72,Auvergne,1938,0.319
FRA,FR81,Languedoc-Roussillon,1938,0.292
FRA,FR82,Provence-Alpes-Côte d'Azur,1938,0.378
FRA,FR83,Corse,1938,
DEU,DE11,"Stuttgart, Regierungsbezirk",1938,0.455
DEU,DE12,"Karlsruhe, Regierungsbezirk",1938,0.521
DEU,DE13,"Freiburg, Regierungsbezirk",1938,0.341
DEU,DE14,"Tübingen, Regierungsbezirk",1938,0.393
DEU,DE21,"Oberbayern, Regierungsbezirk",1938,0.332
DEU,DE22,"Niederbayern, Regierungsbezirk",1938,0.209
DEU,DE23,"Oberpfalz, Regierungsbezirk",1938,0.269
DEU,DE24,"Oberfranken, Regierungsbezirk",1938,0.42
DEU,DE25,"Mittelfranken, Regierungsbezirk",1938,0.437
DEU,DE26,"Unterfranken, Regierungsbezirk",1938,0.283
DEU,DE27,"Schwaben, Regierungsbezirk",1938,0.318
DEU,DE30,Berlin,1938,0.475
DEU,DE40,Brandenburg,1938,0.383
DEU,DE50,Bremen,1938,0.459
DEU,DE60,Hamburg,1938,0.384
DEU,DE71+DE72,Darmstadt and Giessen,1938,0.431
DEU,DE73,"Kassel, Regierungsbezirk",1938,0.333
DEU,DE80,Mecklenburg-Vorpommern,1938,0.261
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1938,0.402
DEU,DE93,Statistische Region Lüneburg,1938,0.261
DEU,DE94,Statistische Region Weser-Ems,1938,0.249
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1938,0.587
DEU,DEA2,"Köln, Regierungsbezirk",1938,0.461
DEU,DEA3,"Münster, Regierungsbezirk",1938,0.499
DEU,DEA4,"Detmold, Regierungsbezirk",1938,0.421
DEU,DEA5,"Arnsberg, Regierungsbezirk",1938,0.573
DEU,DEB1,Statistische Region Koblenz,1938,0.312
DEU,DEB2,Statistische Region Trier,1938,0.182
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1938,0.42
DEU,DEC0,Saarland,1938,0.524
DEU,DED2,"Dresden, NUTS 2-Region",1938,0.675
DEU,DED4,"Chemnitz, NUTS 2-Region",1938,0.522
DEU,DED5,"Leipzig, NUTS 2-Region",1938,0.51
DEU,DEE0,Sachsen-Anhalt,1938,0.425
DEU,DEF0,Schleswig-Holstein,1938,0.318
DEU,DEG0,Thüringen,1938,0.488
GBR,UKI,London Counties,1938,0.398
GBR,UKH+UKJ,Rest of SouthEast,1938,0.268
GBR,UKK,SouthWest,1938,0.284
GBR,UKG,West Midlands,1938,0.53
GBR,UKF,East  Midlands,1938,0.496
GBR,UKC+UKD,North,1938,0.435
GBR,UKE,Yorks  & Humberside,1938,0.505
GBR,UKL,Wales,1938,0.356
GBR,UKM,Scotland,1938,0.412
GBR,UKN,Northern Ireland,1938,0.396
FRA,FR10,Île de France,1950,0.456
FRA,FR21,Champagne-Ardenne,1950,0.383
FRA,FR22,Picardie,1950,0.365
FRA,FR23,Haute-Normandie,1950,0.365
FRA,FR24,Centre,1950,0.255
FRA,FR25,Basse-Normandie,1950,0.226
FRA,FR26,Bourgogne,1950,0.28
FRA,FR30,Nord - Pas-de-Calais,1950,0.558
FRA,FR41,Lorraine,1950,0.491
FRA,FR42,Alsace,1950,0.449
FRA,FR43,Franche-Comté,1950,0.399
FRA,FR51,Pays de la Loire,1950,0.241
FRA,FR52,Bretagne,1950,0.189
FRA,FR53,Poitou-Charentes,1950,0.21
FRA,FR61,Aquitaine,1950,0.218
FRA,FR62,Midi-Pyrénées,1950,0.24
FRA,FR63,Limousin,1950,0.215
FRA,FR71,Rhône-Alpes,1950,0.409
FRA,FR72,Auvergne,1950,0.264
FRA,FR81,Languedoc-Roussillon,1950,0.246
FRA,FR82,Provence-Alpes-Côte d'Azur,1950,0.313
FRA,FR83,Corse,1950,0.151
DEU,DE11,"Stuttgart, Regierungsbezirk",1950,0.49
DEU,DE12,"Karlsruhe, Regierungsbezirk",1950,0.459
DEU,DE13,"Freiburg, Regierungsbezirk",1950,0.379
DEU,DE14,"Tübingen, Regierungsbezirk",1950,0.433
DEU,DE21,"Oberbayern, Regierungsbezirk",1950,0.364
DEU,DE22,"Niederbayern, Regierungsbezirk",1950,0.295
DEU,DE23,"Oberpfalz, Regierungsbezirk",1950,0.34
DEU,DE24,"Oberfranken, Regierungsbezirk",1950,0.478
DEU,DE25,"Mittelfranken, Regierungsbezirk",1950,0.43
DEU,DE26,"Unterfranken, Regierungsbezirk",1950,0.355
DEU,DE27,"Schwaben, Regierungsbezirk",1950,0.392
DEU,DE30,Berlin,1950,0.491
DEU,DE40,Brandenburg,1950,0.363
DEU,DE50,Bremen,1950,0.416
DEU,DE60,Hamburg,1950,0.385
DEU,DE71+DE72,Darmstadt and Giessen,1950,0.426
DEU,DE73,"Kassel, Regierungsbezirk",1950,0.357
DEU,DE80,Mecklenburg-Vorpommern,1950,0.243
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1950,0.412
DEU,DE93,Statistische Region Lüneburg,1950,0.301
DEU,DE94,Statistische Region Weser-Ems,1950,0.317
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1950,0.583
DEU,DEA2,"Köln, Regierungsbezirk",1950,0.488
DEU,DEA3,"Münster, Regierungsbezirk",1950,0.536
DEU,DEA4,"Detmold, Regierungsbezirk",1950,0.462
DEU,DEA5,"Arnsberg, Regierungsbezirk",1950,0.59
DEU,DEB1,Statistische Region Koblenz,1950,0.335
DEU,DEB2,Statistische Region Trier,1950,0.209
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1950,0.414
DEU,DEC0,Saarland,1950,0.554
DEU,DED2,"Dresden, NUTS 2-Region",1950,0.506
DEU,DED4,"Chemnitz, NUTS 2-Region",1950,0.668
DEU,DED5,"Leipzig, NUTS 2-Region",1950,0.517
DEU,DEE0,Sachsen-Anhalt,1950,0.437
DEU,DEF0,Schleswig-Holstein,1950,0.351
DEU,DEG0,Thüringen,1950,0.456
GBR,UKI,London Counties,1950,0.413
GBR,UKH+UKJ,Rest of SouthEast,1950,0.375
GBR,UKK,SouthWest,1950,0.35
GBR,UKG,West Midlands,1950,0.597
GBR,UKF,East  Midlands,1950,0.55
GBR,UKC+UKD,North,1950,0.543
GBR,UKE,Yorks  & Humberside,1950,0.577
GBR,UKL,Wales,1950,0.475
GBR,UKM,Scotland,1950,0.48
GBR,UKN,Northern Ireland,1950,0.435
FRA,FR10,Île de France,1960,0.432
FRA,FR21,Champagne-Ardenne,1960,0.417
FRA,FR22,Picardie,1960,0.418
FRA,FR23,Haute-Normandie,1960,0.402
FRA,FR24,Centre,1960,0.332
