nutsCode,nuts,area
12200,Grand Rapids,9266.6904
12301,Traverse City,5166.98
12302,Petoskey,3158.46
12401,Alpena,7949.5498
12402,Grayling,3378.0
12501,Dayton,4027.99
12502,Washington Court House,1377.3101
12600,Wayne,784.78003
12701,Cincinnati,4057.21
12702,Maysville,1302.75
12800,Washington,1830.85
12901,Lexington,3041.8501
12902,Mount Sterling,688.8200099999999
12903,Danville,1006.5
13000,Elizabethtown,2314.28
13101,Louisville,3600.8901
13102,Madison,656.48999
13103,Bardstown,1072.53
13200,Owensboro,2439.1799
13300,Findlay,2382.05
13400,Lima,2176.77
13501,Toledo,3309.0898
13502,Defiance,1256.21
13600,South Bend,3926.3201
13700,Concord,2312.9299
13800,Wayne,1346.85
13900,Center,1781.29
14000,Muncie,2277.3501
14100,Fort Wayne,3166.5901
14200,Indianapolis,3814.25
14300,Columbus,1494.29
14400,Terre Haute,2923.0701
14500,Lafayette,3865.48
14600,Bloomington,2982.9102
14700,Evansville,3336.9299
14801,Olney,1802.02
14802,Vincennes,898.05005
14900,Gary,2112.8401
15000,Canton,3510.29
15100,Lorain,2043.8101
15200,Cleveland,5352.48
15300,Parkersburg,2311.8401
15400,Zanesville,2440.04
15500,Weirton,591.51001
15600,Wheeling,2042.05
15700,Scioto,2589.6099
15800,Athens,1856.99
15900,Columbus,4559.2998
16000,Mansfield,2141.6201
16100,State College,3813.01
16200,Altoona,3319.3999
16300,Pittsburgh,6755.79
16400,Youngstown,2638.1001
16500,Erie,6717.8198
16600,Roanoke,3841.3398
16701,Elkins,2745.8
16702,Morgantown,2241.71
16703,Buckhannon,744.68005
16801,Beckley,2670.0
16802,Summersville,2066.9199
16901,Charleston,3002.8
16902,Spencer,764.44995
17000,Pikeville,2832.45
17100,Huntington,2707.5901
17200,Harrisonburg,2395.8201
17300,Staunton,3495.72
17400,Hagerstown,2441.21
17501,Cumberland,2479.73
17502,Winchester,1247.86
17600,Charlottesville,3325.71
17700,Syracuse,6775.6099
17800,Oneonta,3382.1099
17900,Union,2070.8799
18000,Buffalo,9091.7002
18100,Elmira,3790.1401
18201,Olean,4422.5
18202,St. Marys,1230.88
18300,Watertown,5968.9502
18400,Plattsburgh,4731.8398
18500,Amsterdam,2751.1899
18600,Albany,5962.6802
18700,Sunbury,1259.03
18800,Scranton,4199.6401
18900,Williamsport,3755.4199
19000,Allentown,1114.53
19100,Reading,2994.8201
19200,Harrisburg,3903.55
19300,Poughkeepsie,3821.76
19400,New York City,4041.1299
19500,Toms River,1581.24
19600,Newark,3615.1001
19700,Philadelphia,5927.8701
19800,Wilmington,911.4200400000001
19901,Dover,3701.24
19902,Easton,2709.99
19903,Chincoteague,2105.5801
20001,Bangor,12280.188999999998
20002,Calais,3255.1399
20003,Presque Isle,6829.1802
20100,Portland,11751.39
20200,Burlington,3723.3
20301,Berlin,3883.6201
20302,Claremont,4666.1699
20401,Providence,2236.3801
20402,Nantucket,303.28
20403,Oak Bluffs,491.0
20500,Boston,6218.4702
20600,Manchester,5759.1802
20700,Keene,1527.39
20800,Springfield,1904.45
20901,Bridgeport,5543.6299
20902,Pittsfield,1624.0601
21001,Ashland,5614.4302
21002,Houghton,8631.2402
21003,Ironwood,6137.2002
