statisticalAreaCode ,statisticalArea ,year ,population_raw,population
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1881,780876,1258192.52756207
UKK2,Dorset and Somerset,1881,460679,646822.521340536
UKK3,Cornwall and Isles of Scilly,1881,329301,345226.759663246
UKK4,Devon,1881,415904,711256.158647613
UKL1,West Wales and The Valleys,1881,880882.5,1182109.62925364
UKL2,East Wales,1881,1080710.5,443257.642263233
UKM5,North Eastern Scotland,1881,410893,385579.09796218
UKM6,Highlands and Islands,1881,415596,652815.836299259
UKM7,Eastern Scotland,1881,1117188,1261697.14267352
UKM8,West Central Scotland,1881,1404360,1325245.22091071
UKM9,Southern Scotland,1881,1105910.25,937633.192794023
UKN0,Northern Ireland,1881,1304816,1304816
UKC1,Tees Valley and Durham,1891,359955,854331.131684844
UKC2,Northumberland and Tyne and Wear,1891,992901,1021448.21433368
UKD1,Cumbria,1891,433937,449815.137845907
UKD3,Greater Manchester,1891,2125441,2188579.89585349
UKD4,Lancashire,1891,736960,953757.399539155
UKD6,Cheshire,1891,464717,405738.568982103
UKD7,Merseyside,1891,1060884,1190367.57884574
UKE1,East Yorkshire and Northern Lincolnshire,1891,138388,447804.206316266
UKE2,North Yorkshire,1891,343585,478303.665567607
UKE3,South Yorkshire,1891,666693,686577.003652881
UKE4,West Yorkshire,1891,1595505,1652127.91491212
UKF1,Derbyshire and Nottinghamshire,1891,640246,880517.327126174
UKF2,Leicestershire  Rutland and Northamptonshire,1891,489299,633232.531361099
UKF3,Lincolnshire,1891,358029,372850.673773754
UKG1,Herefordshire  Worcestershire and Warwickshire,1891,559675,571770.137524558
UKG2,Shropshire and Staffordshire,1891,614427,864339.041031844
UKG3,West Midlands,1891,1296988,1339646.15249568
UKH1,East Anglia,1891,1064713,1199217.63496386
UKH2,Bedfordshire and Hertfordshire,1891,272562,375409.197007704
UKH3,Essex,1891,321929,408316.269189887
UKI3,Inner London - West,1891,1374000,1408486.67481149
UKI4,Inner London - East,1891,2860000,2923586.79623398
UKI5,Outer London - East and North East,1891,462000,466865.783677541
UKI6,Outer London - South,1891,309000,311619.705628953
UKI7,Outer London - West and North West,1891,371000,374342.433484159
UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1891,695308,806460.0018213
UKJ2,Surrey  East and West Sussex,1891,681344,797306.302017604
UKJ3,Hampshire and Isle of Wight,1891,377316,525775.094923883
UKJ4,Kent,1891,613697,763802.633526711
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1891,814204,1311892.52674067
UKK2,Dorset and Somerset,1891,463570,650881.668619217
UKK3,Cornwall and Isles of Scilly,1891,321486,337033.808148467
UKK4,Devon,1891,418200,715182.651636992
UKL1,West Wales and The Valleys,1891,978745,1313437.25080684
UKL2,East Wales,1891,1338758,549096.834574145
UKM5,North Eastern Scotland,1891,443113.5,415814.588286645
UKM6,Highlands and Islands,1891,429631,674861.934583314
UKM7,Eastern Scotland,1891,1230748,1389946.21760272
UKM8,West Central Scotland,1891,1698641.5,1602948.33939703
UKM9,Southern Scotland,1891,1202233,1019299.32042165
UKN0,Northern Ireland,1891,1236056,1236056
UKC1,Tees Valley and Durham,1901,426267.5,1011719.78629403
UKC2,Northumberland and Tyne and Wear,1901,1174072.5,1207828.63409673
UKD1,Cumbria,1901,436791,452773.568225
UKD3,Greater Manchester,1901,2371344.5,2441788.26833713
