statisticalAreaCode,statisticalArea,year,population
FRJ13,Hérault,1931,514819.0
FRH03,Ille-et-Vilaine,1931,562558.0
FRB03,Indre,1931,247912.0
FRB04,Indre-et-Loire,1931,335226.0
FRK24,Isère,1931,549739.0
FRC22,Jura,1931,229018.0
FRI13,Landes,1931,257186.0
FRB05,Loir-et-Cher,1931,241592.0
FRK25,Loire,1931,664822.0
FRK13,Haute-Loire,1931,251608.0
FRG01,Loire-Atlantique,1931,652975.0
FRB06,Loiret,1931,342679.0
FRJ25,Lot,1931,166637.0
FRI14,Lot-et-Garonne,1931,247500.0
FRJ14,Lozère,1931,101859.0
FRG02,Maine-et-Loire,1931,475799.0
FRD12,Manche,1931,434474.0
FRF23,Marne,1931,412094.0
FRF24,Haute-Marne,1931,189726.0
FRG03,Mayenne,1931,254479.0
FRF31,Meurthe-et-Moselle,1931,592803.0
FRF32,Meuse,1931,215648.0
FRH04,Morbihan,1931,537528.0
FRF33,Moselle,1931,693408.0
FRC12,Nièvre,1931,255195.0
FRE11,Nord,1931,2029736.0
FRE22,Oise,1931,407432.0
FRD13,Orne,1931,273702.0
FRE12,Pas-de-Calais,1931,1205975.0
FRK14,Puy-de-Dôme,1931,500590.0
FRI15,Pyrénées-Atlantiques,1931,422719.0
FRJ26,Hautes-Pyrénées,1931,189993.0
FRJ15,Pyrénées-Orientales,1931,238647.0
FRF11,Bas-Rhin,1931,688242.0
FRF12,Haut-Rhin,1931,516726.0
FRK26,Rhône,1931,1089568.0
FRC23,Haute-Saône,1931,219480.0
FRC13,Saône-et-Loire,1931,538741.0
FRG04,Sarthe,1931,384619.0
FRK27,Savoie,1931,235544.0
FRK28,Haute-Savoie,1931,252794.0
FR101,Paris,1931,2891020.0
FRD22,Seine-Maritime,1931,905278.0
FR102,Seine-et-Marne,1931,406108.0
FR103,Yvelines,1931,408282.0
FRI33,Deux-Sèvres,1931,307778.0
FRE23,Somme,1931,465842.0
FRJ27,Tarn,1931,302994.0
FRJ28,Tarn-et-Garonne,1931,164259.0
FRL05,Var,1931,377104.0
FRL06,Vaucluse,1931,241689.0
FRG05,Vendée,1931,390396.0
FRI34,Vienne,1931,303072.0
FRI23,Haute-Vienne,1931,335873.0
FRF34,Vosges,1931,377980.0
FRC14,Yonne,1931,275755.0
FRC24,Territoire de Belfort,1931,99403.0
FR104,Essonne,1931,271102.0
FR105,Hauts-de-Seine,1931,949231.0
FR106,Seine-Saint-Denis,1931,769315.0
FR107,Val-de-Marne,1931,657322.0
FR108,Val-dOise,1931,353374.0
FRY10,Guadeloupe,1931,
FRY20,Martinique,1931,
FRY30,Guyane,1931,
FRY40,La Réunion,1931,
FRK21,Ain,1936,306718.0
FRE21,Aisne,1936,484209.0
FRK11,Allier,1936,368778.0
FRL01,Alpes-de-Haute-Provence,1936,85090.0
FRL02,Hautes-Alpes,1936,88202.0
FRL03,Alpes-Maritimes,1936,518083.0
