country_code,statisticalAreaCode,statisticalArea,year,share_service
DEU,DEA4,"Detmold, Regierungsbezirk",1960,0.327
DEU,DEA5,"Arnsberg, Regierungsbezirk",1960,0.344
DEU,DEB1,Statistische Region Koblenz,1960,0.372
DEU,DEB2,Statistische Region Trier,1960,0.334
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1960,0.351
DEU,DEC0,Saarland,1960,0.374
DEU,DED2,"Dresden, NUTS 2-Region",1960,0.227
DEU,DED4,"Chemnitz, NUTS 2-Region",1960,0.184
DEU,DED5,"Leipzig, NUTS 2-Region",1960,0.242
DEU,DEE0,Sachsen-Anhalt,1960,0.223
DEU,DEF0,Schleswig-Holstein,1960,0.447
DEU,DEG0,Thüringen,1960,0.206
GBR,UKI,London Counties,1960,0.604
GBR,UKH+UKJ,Rest of SouthEast,1960,0.531
GBR,UKK,SouthWest,1960,0.556
GBR,UKG,West Midlands,1960,0.333
GBR,UKF,East  Midlands,1960,0.454
GBR,UKC+UKD,North,1960,0.444
GBR,UKE,Yorks  & Humberside,1960,0.408
GBR,UKL,Wales,1960,0.464
GBR,UKM,Scotland,1960,0.483
GBR,UKN,Northern Ireland,1960,0.435
FRA,FR10,Île de France,1970,0.591
FRA,FR21,Champagne-Ardenne,1970,0.413
FRA,FR22,Picardie,1970,0.403
FRA,FR23,Haute-Normandie,1970,0.458
FRA,FR24,Centre,1970,0.417
FRA,FR25,Basse-Normandie,1970,0.39
FRA,FR26,Bourgogne,1970,0.427
FRA,FR30,Nord - Pas-de-Calais,1970,0.422
FRA,FR41,Lorraine,1970,0.339
FRA,FR42,Alsace,1970,0.461
FRA,FR43,Franche-Comté,1970,0.359
FRA,FR51,Pays de la Loire,1970,0.387
FRA,FR52,Bretagne,1970,0.405
FRA,FR53,Poitou-Charentes,1970,0.41
FRA,FR61,Aquitaine,1970,0.451
FRA,FR62,Midi-Pyrénées,1970,0.423
FRA,FR63,Limousin,1970,0.382
FRA,FR71,Rhône-Alpes,1970,0.424
FRA,FR72,Auvergne,1970,0.393
FRA,FR81,Languedoc-Roussillon,1970,0.491
FRA,FR82,Provence-Alpes-Côte d'Azur,1970,0.576
FRA,FR83,Corse,1970,0.506
DEU,DE11,"Stuttgart, Regierungsbezirk",1970,0.359
DEU,DE12,"Karlsruhe, Regierungsbezirk",1970,0.426
DEU,DE13,"Freiburg, Regierungsbezirk",1970,0.39
DEU,DE14,"Tübingen, Regierungsbezirk",1970,0.321
DEU,DE21,"Oberbayern, Regierungsbezirk",1970,0.482
DEU,DE22,"Niederbayern, Regierungsbezirk",1970,0.316
DEU,DE23,"Oberpfalz, Regierungsbezirk",1970,0.36
DEU,DE24,"Oberfranken, Regierungsbezirk",1970,0.318
DEU,DE25,"Mittelfranken, Regierungsbezirk",1970,0.377
DEU,DE26,"Unterfranken, Regierungsbezirk",1970,0.366
DEU,DE27,"Schwaben, Regierungsbezirk",1970,0.361
DEU,DE30,Berlin,1970,0.541
DEU,DE40,Brandenburg,1970,0.361
DEU,DE50,Bremen,1970,0.606
DEU,DE60,Hamburg,1970,0.629
DEU,DE71+DE72,Darmstadt and Giessen,1970,0.455
DEU,DE73,"Kassel, Regierungsbezirk",1970,0.426
DEU,DE80,Mecklenburg-Vorpommern,1970,0.417
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1970,0.45
DEU,DE93,Statistische Region Lüneburg,1970,0.429
DEU,DE94,Statistische Region Weser-Ems,1970,0.441
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1970,0.427
DEU,DEA2,"Köln, Regierungsbezirk",1970,0.485
DEU,DEA3,"Münster, Regierungsbezirk",1970,0.409
DEU,DEA4,"Detmold, Regierungsbezirk",1970,0.389
DEU,DEA5,"Arnsberg, Regierungsbezirk",1970,0.395
DEU,DEB1,Statistische Region Koblenz,1970,0.464
DEU,DEB2,Statistische Region Trier,1970,0.434
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1970,0.408
DEU,DEC0,Saarland,1970,0.46
DEU,DED2,"Dresden, NUTS 2-Region",1970,0.335
DEU,DED4,"Chemnitz, NUTS 2-Region",1970,0.292
DEU,DED5,"Leipzig, NUTS 2-Region",1970,0.353
DEU,DEE0,Sachsen-Anhalt,1970,0.341
DEU,DEF0,Schleswig-Holstein,1970,0.534
DEU,DEG0,Thüringen,1970,0.322
GBR,UKI,London Counties,1970,0.649
GBR,UKH+UKJ,Rest of SouthEast,1970,0.559
GBR,UKK,SouthWest,1970,0.566
GBR,UKG,West Midlands,1970,0.409
GBR,UKF,East  Midlands,1970,0.445
GBR,UKC+UKD,North,1970,0.488
GBR,UKE,Yorks  & Humberside,1970,0.457
GBR,UKL,Wales,1970,0.489
GBR,UKM,Scotland,1970,0.522
GBR,UKN,Northern Ireland,1970,0.482
FRA,FR10,Île de France,1980,0.671
FRA,FR21,Champagne-Ardenne,1980,0.492
FRA,FR22,Picardie,1980,0.484
FRA,FR23,Haute-Normandie,1980,0.523
FRA,FR24,Centre,1980,0.505
FRA,FR25,Basse-Normandie,1980,0.48
FRA,FR26,Bourgogne,1980,0.51
FRA,FR30,Nord - Pas-de-Calais,1980,0.515
FRA,FR41,Lorraine,1980,0.352
FRA,FR42,Alsace,1980,0.534
FRA,FR43,Franche-Comté,1980,0.451
FRA,FR51,Pays de la Loire,1980,0.482
FRA,FR52,Bretagne,1980,0.521
FRA,FR53,Poitou-Charentes,1980,0.506
FRA,FR61,Aquitaine,1980,0.551
FRA,FR62,Midi-Pyrénées,1980,0.536
FRA,FR63,Limousin,1980,0.49
FRA,FR71,Rhône-Alpes,1980,0.524
FRA,FR72,Auvergne,1980,0.482
FRA,FR81,Languedoc-Roussillon,1980,0.598
FRA,FR82,Provence-Alpes-Côte d'Azur,1980,0.661
FRA,FR83,Corse,1980,0.608
DEU,DE11,"Stuttgart, Regierungsbezirk",1980,0.452
DEU,DE12,"Karlsruhe, Regierungsbezirk",1980,0.509
DEU,DE13,"Freiburg, Regierungsbezirk",1980,0.472
DEU,DE14,"Tübingen, Regierungsbezirk",1980,0.445
DEU,DE21,"Oberbayern, Regierungsbezirk",1980,0.585
DEU,DE22,"Niederbayern, Regierungsbezirk",1980,0.43
DEU,DE23,"Oberpfalz, Regierungsbezirk",1980,0.477
DEU,DE24,"Oberfranken, Regierungsbezirk",1980,0.424
DEU,DE25,"Mittelfranken, Regierungsbezirk",1980,0.503
DEU,DE26,"Unterfranken, Regierungsbezirk",1980,0.48
DEU,DE27,"Schwaben, Regierungsbezirk",1980,0.478
DEU,DE30,Berlin,1980,0.649
DEU,DE40,Brandenburg,1980,0.378
DEU,DE50,Bremen,1980,0.663
DEU,DE60,Hamburg,1980,0.708
DEU,DE71+DE72,Darmstadt and Giessen,1980,0.576
DEU,DE73,"Kassel, Regierungsbezirk",1980,0.535
DEU,DE80,Mecklenburg-Vorpommern,1980,0.436
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1980,0.549
DEU,DE93,Statistische Region Lüneburg,1980,0.574
DEU,DE94,Statistische Region Weser-Ems,1980,0.532
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1980,0.541
DEU,DEA2,"Köln, Regierungsbezirk",1980,0.583
