key,country,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
E11,GBR,London,UKI,Outer London — East and North East,UKI5,Redbridge and Waltham Forest,UKI53
E12,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E13,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E14,GBR,London,UKI,Inner London — East,UKI4,Tower Hamlets,UKI42
E15,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E16,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E17,GBR,London,UKI,Outer London — East and North East,UKI5,Redbridge and Waltham Forest,UKI53
E18,GBR,London,UKI,Outer London — East and North East,UKI5,Redbridge and Waltham Forest,UKI53
E1W,GBR,London,UKI,Inner London — East,UKI4,Tower Hamlets,UKI42
E2,GBR,London,UKI,Inner London — East,UKI4,Tower Hamlets,UKI42
E20,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E3,GBR,London,UKI,Inner London — East,UKI4,Tower Hamlets,UKI42
E4,GBR,London,UKI,Outer London — East and North East,UKI5,Redbridge and Waltham Forest,UKI53
E5,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E6,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E7,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E8,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E9,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
E98,GBR,London,UKI,Inner London — East,UKI4,Tower Hamlets,UKI42
EC1A,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC1M,GBR,London,UKI,Inner London — East,UKI4,Haringey and Islington,UKI43
EC1N,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC1P,GBR,London,UKI,Inner London — East,UKI4,Haringey and Islington,UKI43
EC1R,GBR,London,UKI,Inner London — East,UKI4,Haringey and Islington,UKI43
EC1V,GBR,London,UKI,Inner London — East,UKI4,Haringey and Islington,UKI43
EC1Y,GBR,London,UKI,Inner London — East,UKI4,Haringey and Islington,UKI43
EC2A,GBR,London,UKI,Inner London — East,UKI4,Hackney and Newham,UKI41
EC2M,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC2N,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC2P,GBR,London,UKI,Inner London — East,UKI4,Haringey and Islington,UKI43
EC2R,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC2V,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC2Y,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC3A,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC3M,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC3N,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC3P,GBR,London,UKI,Inner London — East,UKI4,Haringey and Islington,UKI43
EC3R,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC3V,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC4A,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC4M,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC4N,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC4P,GBR,London,UKI,Inner London — East,UKI4,Haringey and Islington,UKI43
EC4R,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC4V,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EC4Y,GBR,London,UKI,Inner London — West,UKI3,Camden and City of London,UKI31
EH1,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH10,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH11,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH12,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH13,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH14,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH15,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH16,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH17,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH18,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH19,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH2,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH20,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH21,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH22,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH23,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH24,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH25,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH26,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH27,GBR,Scotland,UKM,Eastern Scotland,UKM7,West Lothian,UKM78
EH28,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH29,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH3,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH30,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH31,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH32,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH33,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH34,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH35,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH36,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH37,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH38,GBR,Scotland,UKM,Southern Scotland,UKM9,Scottish Borders,UKM91
EH39,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH4,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH40,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH41,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH42,GBR,Scotland,UKM,Eastern Scotland,UKM7,East Lothian and Midlothian,UKM73
EH43,GBR,Scotland,UKM,Southern Scotland,UKM9,Scottish Borders,UKM91
EH44,GBR,Scotland,UKM,Southern Scotland,UKM9,Scottish Borders,UKM91
EH45,GBR,Scotland,UKM,Southern Scotland,UKM9,Scottish Borders,UKM91
EH46,GBR,Scotland,UKM,Southern Scotland,UKM9,Scottish Borders,UKM91
EH47,GBR,Scotland,UKM,Eastern Scotland,UKM7,West Lothian,UKM78
EH48,GBR,Scotland,UKM,Eastern Scotland,UKM7,West Lothian,UKM78
EH49,GBR,Scotland,UKM,Eastern Scotland,UKM7,West Lothian,UKM78
EH5,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH51,GBR,Scotland,UKM,Eastern Scotland,UKM7,Falkirk,UKM76
EH52,GBR,Scotland,UKM,Eastern Scotland,UKM7,West Lothian,UKM78
EH53,GBR,Scotland,UKM,Eastern Scotland,UKM7,West Lothian,UKM78
EH54,GBR,Scotland,UKM,Eastern Scotland,UKM7,West Lothian,UKM78
EH55,GBR,Scotland,UKM,Eastern Scotland,UKM7,West Lothian,UKM78
EH6,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH7,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH8,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH9,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH91,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH95,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EH99,GBR,Scotland,UKM,Eastern Scotland,UKM7,"Edinburgh, City of",UKM75
EN1,GBR,London,UKI,Outer London — East and North East,UKI5,Enfield,UKI54
EN10,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
EN11,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
EN2,GBR,London,UKI,Outer London — East and North East,UKI5,Enfield,UKI54
EN3,GBR,London,UKI,Outer London — East and North East,UKI5,Enfield,UKI54
EN4,GBR,London,UKI,Outer London — West and North West,UKI7,Barnet,UKI71
EN5,GBR,London,UKI,Outer London — West and North West,UKI7,Barnet,UKI71
EN6,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
EN7,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
EN8,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
EN9,GBR,East of England,UKH,Essex,UKH3,West Essex,UKH35
EX1,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX10,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX11,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX12,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX13,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX14,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX15,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX16,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX17,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX18,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX19,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX2,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX20,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX21,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX22,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX23,GBR,South West (England),UKK,Cornwall and Isles of Scilly,UKK3,Cornwall and Isles of Scilly,UKK30
EX24,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX3,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX31,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX32,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX33,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX34,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX35,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX36,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX37,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX38,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX39,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX4,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX5,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX6,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX7,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX8,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
EX9,GBR,South West (England),UKK,Devon,UKK4,Devon CC,UKK43
FK1,GBR,Scotland,UKM,Eastern Scotland,UKM7,Falkirk,UKM76
FK10,GBR,Scotland,UKM,Eastern Scotland,UKM7,Clackmannanshire and Fife,UKM72
FK11,GBR,Scotland,UKM,Eastern Scotland,UKM7,Clackmannanshire and Fife,UKM72
FK12,GBR,Scotland,UKM,Eastern Scotland,UKM7,Clackmannanshire and Fife,UKM72
FK13,GBR,Scotland,UKM,Eastern Scotland,UKM7,Clackmannanshire and Fife,UKM72
FK14,GBR,Scotland,UKM,Eastern Scotland,UKM7,Clackmannanshire and Fife,UKM72
FK15,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FK16,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FK17,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FK18,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FK19,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FK2,GBR,Scotland,UKM,Eastern Scotland,UKM7,Falkirk,UKM76
FK20,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FK21,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FK3,GBR,Scotland,UKM,Eastern Scotland,UKM7,Falkirk,UKM76
FK4,GBR,Scotland,UKM,Eastern Scotland,UKM7,Falkirk,UKM76
FK5,GBR,Scotland,UKM,Eastern Scotland,UKM7,Falkirk,UKM76
FK6,GBR,Scotland,UKM,Eastern Scotland,UKM7,Falkirk,UKM76
FK7,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FK8,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FK9,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
FY1,GBR,North West (England),UKD,Lancashire,UKD4,Blackpool,UKD42
FY2,GBR,North West (England),UKD,Lancashire,UKD4,Blackpool,UKD42
FY3,GBR,North West (England),UKD,Lancashire,UKD4,Blackpool,UKD42
FY4,GBR,North West (England),UKD,Lancashire,UKD4,Blackpool,UKD42
FY5,GBR,North West (England),UKD,Lancashire,UKD4,Lancaster and Wyre,UKD44
FY6,GBR,North West (England),UKD,Lancashire,UKD4,Lancaster and Wyre,UKD44
FY7,GBR,North West (England),UKD,Lancashire,UKD4,Lancaster and Wyre,UKD44
FY8,GBR,North West (England),UKD,Lancashire,UKD4,Mid Lancashire,UKD45
G1,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G11,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G12,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G13,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G14,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G15,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G2,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G20,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G21,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G22,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G23,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G3,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G31,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G32,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G33,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G34,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G4,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G40,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G41,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G42,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G43,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G44,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G45,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G46,GBR,Scotland,UKM,West Central Scotland,UKM8,"Inverclyde, East Renfrewshire and Renfrewshire",UKM83
G5,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G51,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G52,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G53,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G58,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G60,GBR,Scotland,UKM,West Central Scotland,UKM8,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81
G61,GBR,Scotland,UKM,West Central Scotland,UKM8,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81
G62,GBR,Scotland,UKM,West Central Scotland,UKM8,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81
G63,GBR,Scotland,UKM,Eastern Scotland,UKM7,Perth & Kinross and Stirling,UKM77
G64,GBR,Scotland,UKM,West Central Scotland,UKM8,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81
G65,GBR,Scotland,UKM,West Central Scotland,UKM8,North Lanarkshire,UKM84
G66,GBR,Scotland,UKM,West Central Scotland,UKM8,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81
G67,GBR,Scotland,UKM,West Central Scotland,UKM8,North Lanarkshire,UKM84
G68,GBR,Scotland,UKM,West Central Scotland,UKM8,North Lanarkshire,UKM84
G69,GBR,Scotland,UKM,West Central Scotland,UKM8,North Lanarkshire,UKM84
G70,GBR,Scotland,UKM,West Central Scotland,UKM8,North Lanarkshire,UKM84
G71,GBR,Scotland,UKM,West Central Scotland,UKM9,South Lanarkshire,UKM95
G72,GBR,Scotland,UKM,Southern Scotland,UKM9,South Lanarkshire,UKM95
G73,GBR,Scotland,UKM,Southern Scotland,UKM9,South Lanarkshire,UKM95
G74,GBR,Scotland,UKM,Southern Scotland,UKM9,South Lanarkshire,UKM95
G75,GBR,Scotland,UKM,Southern Scotland,UKM9,South Lanarkshire,UKM95
G76,GBR,Scotland,UKM,West Central Scotland,UKM8,"Inverclyde, East Renfrewshire and Renfrewshire",UKM83
G77,GBR,Scotland,UKM,West Central Scotland,UKM8,"Inverclyde, East Renfrewshire and Renfrewshire",UKM83
G78,GBR,Scotland,UKM,West Central Scotland,UKM8,"Inverclyde, East Renfrewshire and Renfrewshire",UKM83
G79,GBR,Scotland,UKM,Southern Scotland,UKM9,South Lanarkshire,UKM95
G81,GBR,Scotland,UKM,West Central Scotland,UKM8,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81
G82,GBR,Scotland,UKM,West Central Scotland,UKM8,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81
G83,GBR,Scotland,UKM,West Central Scotland,UKM8,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81
G84,GBR,Scotland,UKM,West Central Scotland,UKM8,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81
G9,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
G90,GBR,Scotland,UKM,West Central Scotland,UKM8,Glasgow City,UKM82
GL1,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL10,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL11,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL12,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL13,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL14,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL15,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL16,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL17,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL18,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL19,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL2,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL20,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL3,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL4,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL5,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL50,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL51,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL52,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL53,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL54,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL55,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL56,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL6,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL7,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL8,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Gloucestershire,UKK13
GL9,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12
GU1,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU10,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU11,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,North Hampshire,UKJ37
GU12,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU14,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,North Hampshire,UKJ37
GU15,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU16,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU17,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,North Hampshire,UKJ37
GU18,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU19,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU2,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU20,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU21,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU22,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU23,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU24,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU25,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU26,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU27,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU28,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Sussex (South West),UKJ27
GU29,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Sussex (South West),UKJ27
GU3,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU30,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,Central Hampshire,UKJ36
GU31,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,Central Hampshire,UKJ36
GU32,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,Central Hampshire,UKJ36
GU33,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,Central Hampshire,UKJ36
GU34,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,Central Hampshire,UKJ36
GU35,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,Central Hampshire,UKJ36
GU4,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU46,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,North Hampshire,UKJ37
GU47,GBR,South East (England),UKJ,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Berkshire,UKJ11
GU5,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU51,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,North Hampshire,UKJ37
GU52,GBR,South East (England),UKJ,Hampshire and Isle of Wight,UKJ3,North Hampshire,UKJ37
GU6,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU7,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU8,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
GU9,GBR,South East (England),UKJ,"Surrey, East and West Sussex",UKJ2,West Surrey,UKJ25
HA0,GBR,London,UKI,Outer London — West and North West,UKI7,Brent,UKI72
HA1,GBR,London,UKI,Outer London — West and North West,UKI7,Harrow and Hillingdon,UKI74
HA2,GBR,London,UKI,Outer London — West and North West,UKI7,Harrow and Hillingdon,UKI74
HA3,GBR,London,UKI,Outer London — West and North West,UKI7,Harrow and Hillingdon,UKI74
