statisticalAreaCode,statisticalArea,year,population
DE12,Karlsruhe,1960,1697000.0
DE13,Freiburg,1960,1626000.0
DE14,Tübingen,1960,1398000.0
DE21,Oberbayern,1960,2755000.0
DE22,Niederbayern,1960,962000.0
DE23,Oberpfalz,1960,890000.0
DE24,Oberfranken,1960,1087000.0
DE25,Mittelfranken,1960,1374000.0
DE26,Unterfranken,1960,1090000.0
DE27,Schwaben,1960,1358000.0
DE30,Berlin,1960,3269000.0
DE40,Brandenburg,1960,2655000.0
DE50,Bremen,1960,706000.0
DE60,Hamburg,1960,1832000.0
DE71+DE72,Darmstadt and Gießen,1960,3558000.0
DE73,Kassel,1960,1256000.0
DE80,Mecklenburg-Vorpommern,1960,2107000.0
DE91+DE92,Braunschweig und Hannover,1960,3253000.0
DE93,Lüneburg,1960,1534000.0
DE94,Weser-Ems,1960,1854000.0
DEA1,Düsseldorf,1960,5376000.0
DEA2,Köln,1960,3063000.0
DEA3,Münster,1960,2259000.0
DEA4,Detmold,1960,1606000.0
DEA5,Arnsberg,1960,3598000.0
DEB1,Koblenz,1960,1268000.0
DEB2,Trier,1960,459000.0
DEB3,Rheinhessen-Pfalz,1960,1690000.0
DEC0,Saarland,1960,1073000.0
DED2,Dresden,1960,1885000.0
DED4,Chemnitz,1960,2112000.0
DED5,Leipzig,1960,1519000.0
DEE0,Sachsen-Anhalt,1960,3347000.0
DEF0,Schleswig-Holstein,1960,2317000.0
DEG0,Thüringen,1960,2520000.0
DE11,Stuttgart,1970,3496000.0
DE12,Karlsruhe,1970,1910000.0
DE13,Freiburg,1970,1868000.0
DE14,Tübingen,1970,1622000.0
DE21,Oberbayern,1970,3242000.0
DE22,Niederbayern,1970,1012000.0
DE23,Oberpfalz,1970,956000.0
DE24,Oberfranken,1970,1116000.0
DE25,Mittelfranken,1970,1485000.0
DE26,Unterfranken,1970,1181000.0
DE27,Schwaben,1970,1487000.0
DE30,Berlin,1970,3208000.0
DE40,Brandenburg,1970,2660000.0
DE50,Bremen,1970,723000.0
DE60,Hamburg,1970,1794000.0
DE71+DE72,Darmstadt and Gießen,1970,4033000.0
DE73,Kassel,1970,1349000.0
DE80,Mecklenburg-Vorpommern,1970,2095000.0
DE91+DE92,Braunschweig und Hannover,1970,3363000.0
DE93,Lüneburg,1970,1691000.0
DE94,Weser-Ems,1970,2029000.0
DEA1,Düsseldorf,1970,5626000.0
DEA2,Köln,1970,3429000.0
DEA3,Münster,1970,2402000.0
DEA4,Detmold,1970,1737000.0
DEA5,Arnsberg,1970,3721000.0
DEB1,Koblenz,1970,1354000.0
DEB2,Trier,1970,482000.0
DEB3,Rheinhessen-Pfalz,1970,1809000.0
DEC0,Saarland,1970,1120000.0
DED2,Dresden,1970,1873000.0
DED4,Chemnitz,1970,2048000.0
DED5,Leipzig,1970,1491000.0
DEE0,Sachsen-Anhalt,1970,3243000.0
DEF0,Schleswig-Holstein,1970,2494000.0
DEG0,Thüringen,1970,2547000.0
DE11,Stuttgart,1980,3459000.0
DE12,Karlsruhe,1980,2380000.0
DE13,Freiburg,1980,1851000.0
DE14,Tübingen,1980,1499000.0
DE21,Oberbayern,1980,3643000.0
DE22,Niederbayern,1980,997000.0
DE23,Oberpfalz,1980,966000.0
DE24,Oberfranken,1980,1052000.0
DE25,Mittelfranken,1980,1518000.0
DE26,Unterfranken,1980,1193000.0
DE27,Schwaben,1980,1529000.0
DE30,Berlin,1980,3051000.0
DE40,Brandenburg,1980,2667000.0
DE50,Bremen,1980,695000.0
DE60,Hamburg,1980,1649000.0
DE71+DE72,Darmstadt and Gießen,1980,4304000.0
DE73,Kassel,1980,1401000.0
DE80,Mecklenburg-Vorpommern,1980,2101000.0
DE91+DE92,Braunschweig und Hannover,1980,3689000.0
DE93,Lüneburg,1980,1451000.0
DE94,Weser-Ems,1980,2107000.0
DEA1,Düsseldorf,1980,5209000.0
DEA2,Köln,1980,3914000.0
DEA3,Münster,1980,2412000.0
DEA4,Detmold,1980,1814000.0
DEA5,Arnsberg,1980,3691000.0
DEB1,Koblenz,1980,1363000.0
DEB2,Trier,1980,471000.0
DEB3,Rheinhessen-Pfalz,1980,1805000.0
DEC0,Saarland,1980,1068000.0
DED2,Dresden,1980,1806000.0
DED4,Chemnitz,1980,1930000.0
DED5,Leipzig,1980,1412000.0
DEE0,Sachsen-Anhalt,1980,3101000.0
DEF0,Schleswig-Holstein,1980,2605000.0
DEG0,Thüringen,1980,2529000.0
DE11,Stuttgart,1990,3717000.0
DE12,Karlsruhe,1990,2558000.0
DE13,Freiburg,1990,1992000.0
DE14,Tübingen,1990,1637000.0
DE21,Oberbayern,1990,3721000.0
DE22,Niederbayern,1990,1057000.0
DE23,Oberpfalz,1990,991000.0
DE24,Oberfranken,1990,1056000.0
DE25,Mittelfranken,1990,1566000.0
DE26,Unterfranken,1990,1235000.0
DE27,Schwaben,1990,1594000.0
DE30,Berlin,1990,3400000.0
DE40,Brandenburg,1990,2602000.0
DE50,Bremen,1990,674000.0
DE60,Hamburg,1990,1626000.0
DE71+DE72,Darmstadt and Gießen,1990,4473000.0
DE73,Kassel,1990,1188000.0
DE80,Mecklenburg-Vorpommern,1990,1964000.0
DE91+DE92,Braunschweig und Hannover,1990,3647000.0
DE93,Lüneburg,1990,1467000.0
DE94,Weser-Ems,1990,2170000.0
DEA1,Düsseldorf,1990,5168000.0
DEA2,Köln,1990,3963000.0
DEA3,Münster,1990,2438000.0
DEA4,Detmold,1990,1850000.0
DEA5,Arnsberg,1990,3685000.0
DEB1,Koblenz,1990,1377000.0
DEB2,Trier,1990,478000.0
DEB3,Rheinhessen-Pfalz,1990,1847000.0
DEC0,Saarland,1990,1065000.0
DED2,Dresden,1990,1765000.0
DED4,Chemnitz,1990,1779000.0
DED5,Leipzig,1990,1249000.0
DEE0,Sachsen-Anhalt,1990,2965000.0
DEF0,Schleswig-Holstein,1990,2595000.0
DEG0,Thüringen,1990,2684000.0
DE11,Stuttgart,2000,3874000.0
DE12,Karlsruhe,2000,2646000.0
DE13,Freiburg,2000,2102000.0
DE14,Tübingen,2000,1737000.0
DE21,Oberbayern,2000,4034000.0
DE22,Niederbayern,2000,1170000.0
DE23,Oberpfalz,2000,1074000.0
DE24,Oberfranken,2000,1114000.0
DE25,Mittelfranken,2000,1683000.0
DE26,Unterfranken,2000,1334000.0
DE27,Schwaben,2000,1746000.0
DE30,Berlin,2000,3387000.0
DE40,Brandenburg,2000,2601000.0
DE50,Bremen,2000,663000.0
DE60,Hamburg,2000,1705000.0
DE71+DE72,Darmstadt and Gießen,2000,4783000.0
DE73,Kassel,2000,1269000.0
DE80,Mecklenburg-Vorpommern,2000,1789000.0
DE91+DE92,Braunschweig und Hannover,2000,3822000.0
DE93,Lüneburg,2000,1661000.0
DE94,Weser-Ems,2000,2416000.0
DEA1,Düsseldorf,2000,5264000.0
DEA2,Köln,2000,4264000.0
DEA3,Münster,2000,2609000.0
DEA4,Detmold,2000,2049000.0
DEA5,Arnsberg,2000,3814000.0
DEB1,Koblenz,2000,1516000.0
DEB2,Trier,2000,512000.0
DEB3,Rheinhessen-Pfalz,2000,2003000.0
DEC0,Saarland,2000,1072000.0
DED2,Dresden,2000,1725000.0
DED4,Chemnitz,2000,1639000.0
DED5,Leipzig,2000,1096000.0
DEE0,Sachsen-Anhalt,2000,2649000.0
DEF0,Schleswig-Holstein,2000,2777000.0
DEG0,Thüringen,2000,2449000.0
DE11,Stuttgart,2010,3902000.0
DE12,Karlsruhe,2010,2673000.0
DE13,Freiburg,2010,2142000.0
DE14,Tübingen,2010,1763000.0
DE21,Oberbayern,2010,4346000.0
DE22,Niederbayern,2010,1189000.0
DE23,Oberpfalz,2010,1081000.0
DE24,Oberfranken,2010,1076000.0
DE25,Mittelfranken,2010,1710000.0
DE26,Unterfranken,2010,1322000.0
DE27,Schwaben,2010,1785000.0
DE30,Berlin,2010,3443000.0
DE40,Brandenburg,2010,2512000.0
DE50,Bremen,2010,662000.0
DE60,Hamburg,2010,1774000.0
DE71+DE72,Darmstadt and Gießen,2010,4837000.0
DE73,Kassel,2010,1225000.0
DE80,Mecklenburg-Vorpommern,2010,1651000.0
DE91+DE92,Braunschweig und Hannover,2010,3759000.0
DE93,Lüneburg,2010,1694000.0
DE94,Weser-Ems,2010,2476000.0
DEA1,Düsseldorf,2010,5173000.0
DEA2,Köln,2010,4383000.0
DEA3,Münster,2010,2598000.0
DEA4,Detmold,2010,2043000.0
DEA5,Arnsberg,2010,3676000.0
DEB1,Koblenz,2010,1491000.0
DEB2,Trier,2010,514000.0
DEB3,Rheinhessen-Pfalz,2010,2008000.0
DEC0,Saarland,2010,1023000.0
DED2,Dresden,2010,1631000.0
DED4,Chemnitz,2010,1540000.0
DED5,Leipzig,2010,997000.0
DEE0,Sachsen-Anhalt,2010,2356000.0
DEF0,Schleswig-Holstein,2010,2832000.0
DEG0,Thüringen,2010,2250000.0
DE11,Stuttgart,2015,4032000.0
DE12,Karlsruhe,2015,2738000.0
DE13,Freiburg,2015,2205000.0
DE14,Tübingen,2015,1806000.0
DE21,Oberbayern,2015,4547000.0
DE22,Niederbayern,2015,1205000.0
DE23,Oberpfalz,2015,1089000.0
DE24,Oberfranken,2015,1062000.0
DE25,Mittelfranken,2015,1726000.0
DE26,Unterfranken,2015,1307000.0
DE27,Schwaben,2015,1832000.0
DE30,Berlin,2015,3491000.0
DE40,Brandenburg,2015,2473000.0
DE50,Bremen,2015,666000.0
DE60,Hamburg,2015,1773000.0
DE71+DE72,Darmstadt and Gießen,2015,5661000.0
DE73,Kassel,2015,1208000.0
DE80,Mecklenburg-Vorpommern,2015,1609000.0
DE91+DE92,Braunschweig und Hannover,2015,3198000.0
DE93,Lüneburg,2015,1688000.0
DE94,Weser-Ems,2015,2476000.0
DEA1,Düsseldorf,2015,5139000.0
DEA2,Köln,2015,4388000.0
DEA3,Münster,2015,2596000.0
DEA4,Detmold,2015,2042000.0
DEA5,Arnsberg,2015,3579000.0
DEB1,Koblenz,2015,1486000.0
DEB2,Trier,2015,525000.0
DEB3,Rheinhessen-Pfalz,2015,2025000.0
DEC0,Saarland,2015,995000.0
DED2,Dresden,2015,1602000.0
DED4,Chemnitz,2015,1472000.0
DED5,Leipzig,2015,1005000.0
DEE0,Sachsen-Anhalt,2015,2249000.0
DEF0,Schleswig-Holstein,2015,2848000.0
DEG0,Thüringen,2015,2170000.0
