statisticalAreaCode,statisticalArea,area,country_code
04601,Campbellsville,1706.7,US
04602,Somerset,2330.78,US
04701,Greenwood,2098.3,US
04702,Clarksdale,3521.3799,US
04800,Greenville,3250.71,US
04901,Jackson,2387.01,US
04902,Dyersburg,1761.6901,US
04903,Lexington,1293.8101,US
05000,Tupelo,3359.05,US
05100,Corinth,2421.46,US
05201,New Albany,1285.5801,US
05202,Memphis,4063.2,US
05300,West Memphis,3248.3901,US
05401,Bowling Green,2001.15,US
05402,Glasgow,2111.1201,US
05500,Columbia,2498.1699,US
05600,Nashville,4659.1001,US
05700,Tullahoma,1614.13,US
05800,Dickson,2677.7,US
05900,Clarksville,2826.2,US
06000,Huntsville,3307.9102,US
06100,Gadsden,3077.55,US
06200,Florence,3342.6602,US
06301,McMinnville,1417.28,US
06302,Cookeville,1331.42,US
06401,Chattanooga,2500.28,US
06402,Crossville,1927.1,US
06501,Ellijay,823.31,US
06502,Cleveland,2075.8201,US
06600,Rome,3210.3999,US
06700,Tampa,3331.25,US
06800,Lakeland,3754.9299,US
06900,Sarasota,3116.9399,US
07000, Miami,5057.1602,US
07000,Miami,5057.1602,US
07100,Port St. Lucie,6895.5801,US
07200,Cape Coral,3517.0901,US
07300,Palm Bay,2174.22,US
07400,Orlando,4592.5601,US
07500,Deltona,2830.52,US
07600,Jacksonville,5263.8301,US
07700,Lake City,4508.3101,US
07800,Ocala,2436.3398,US
07900,Gainesville,4150.5698,US
08000,Sumter,2529.4299,US
08100,Columbia,4869.3599,US
08201,Barnwell,1928.09,US
08202,Charleston,4295.1602,US
08300,Greenville,4829.9399,US
08401,Augusta,4285.5898,US
08402,Washington,1333.1,US
08501,Fitzgerald,616.78998,US
08502,Cordele,1061.6799,US
08503,Valdosta,3435.53,US
08601,Waycross,3307.26,US
08602,Brunswick,1605.27,US
08701,Hinesville,2330.1299,US
08702,Statesboro,2636.3101,US
08800,Savannah,3192.5901,US
08900,Macon,3117.8101,US
09001,Vidalia,2913.3201,US
09002,Milledgeville,1559.01,US
09003,Dublin,1809.53,US
09100,Atlanta,5368.0103,US
09200,Griffin,1122.5601,US
09301,Athens,1198.09,US
09302,Toccoa,1081.62,US
09400,Gainesville,1812.39,US
09500,Talladega,2799.0801,US
09600,LaGrange,4340.8701,US
